Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	P153537	P154325	P158276	P158785	P160971	P165114	P165970	P170055	P172017	P174092	P176973	P179186	P179980	P182545	P184521	P149774	P149985	P153403	P155534	P157632	P158665	P160100	P161515	P161809	P161865	P164398	P164921	P169026	P170008	P170561	P172390	P172496	P177793	P181568	P184022	P186330	
Deletion Peak 12 - CN values	14q32.33	chr14:106395694-106747458(probes 215763:215800)	chr14:106424724-106452817(probes 215767:215768)	chr14:105996091-107349540(probes 215721:215858)	0.0011396	 0.0011627		Actual Copy Change Given	-0.48875	-1.14	-0.13648	-0.0011979	-0.67125	-0.18515	0.050752	-1.1678	-1.2929	-0.43003	-0.4331	-0.87667	-0.44289	-0.07735	-0.0013044	-0.10488	-0.10595	0.0047835	-0.71693	-1.1234	-0.42668	-0.14032	2.2941	-0.029237	-0.042497	-0.39022	1.5047	-0.0029316	-0.29892	0.0026002	-0.013916	-0.43944	1.7552	-0.043305	-0.0052561	0.0062462	
Deletion Peak 13 - CN values	15q11.2 	chr15:1-27218228(probes 215859:216562)           	chr15:20472890-23459333(probes 215899:216182)    	chr15:1-23469317(probes 215859:216183)           	0.17867	   0.17867		Actual Copy Change Given	-0.41591	-0.57028	-0.065638	-0.022851	-0.17508	-0.77961	-0.056237	-0.55446	0.31069	-0.27852	-0.46491	0.028976	-0.063817	-0.0059745	-0.0057498	0.37119	-0.0043501	-0.016358	0.020146	-0.33484	-0.019704	-0.30851	0.25598	0.16883	-0.046794	-0.042736	-0.38443	-0.022339	0.32117	0.0082777	-0.029176	-0.0094197	-0.012864	0.00053412	-0.0083044	0	
Deletion Peak 14 - CN values	16p11.2 	chr16:31926800-34405307(probes 227029:227254)    	chr16:33194886-34256916(probes 227159:227238)    	chr16:31895889-46655188(probes 227023:227296)    	0.036118	  0.036118		Actual Copy Change Given	0.1372	-0.28009	0.021704	-0.41595	-0.40224	-0.029421	-0.017685	-0.83616	-0.044065	-0.70503	0.0039552	-1.1872	0.018816	0.013442	0.011884	-0.029555	-0.061656	-0.0064043	0.00035637	-0.65373	-0.48953	-0.12026	-0.068903	0.032977	-0.046858	-0.63627	-0.02641	-0.037181	-0.51354	0.011167	-0.0028542	-0.28353	-0.044768	0.025332	-0.0055251	-0.0067493	
Deletion Peak 15 - CN values	17p13.2 	chr17:2648233-6934946(probes 231916:232357)        	chr17:3455134-6934946(probes 232000:232357)        	chr17:2866790-4678020(probes 231938:232125)        	0.027807	  0.027807		Actual Copy Change Given	-0.80026	-0.40667	-0.011127	-0.015696	0.59294	-0.8797	-0.029042	-0.036455	-0.1863	0.72665	-0.84229	-0.85953	1.2485	0.0278	0.0069363	-0.046388	-0.086075	-0.010916	-0.7463	-0.034832	-0.048419	-0.39564	-0.19169	-0.37979	-0.83561	-0.62895	-0.66933	-0.041473	-0.53977	0.004323	-0.81825	0.0071364	-0.80087	-0.78089	-0.83698	-0.57346	
Deletion Peak 16 - CN values	17p12   	chr17:8188405-15888407(probes 232502:233152)      	chr17:12890498-15181709(probes 232978:233076)    	chr17:8161150-15264478(probes 232498:233086)      	0.047651	   0.08088		Actual Copy Change Given	-0.80026	-0.40667	-0.011127	-0.015696	0.16694	-0.9142	0.018766	-0.036455	-0.89126	0.40583	-0.84229	0.98481	-0.4364	0.035233	0.0069363	-0.046388	-0.050208	-0.010916	0.81883	-0.034832	-0.048419	-0.60443	-0.19169	-0.37979	-0.83561	-0.87863	-0.66933	-0.041473	0.12838	0.004323	-0.81825	-0.15104	-0.80087	0.79259	-0.83698	0.57948	
Deletion Peak 17 - CN values	17q11.2 	chr17:29322729-29631647(probes 234412:234449)    	chr17:29605452-29631647(probes 234444:234449)    	chr17:28961164-32592746(probes 234388:234714)    	0.0068435	 0.0068435		Actual Copy Change Given	-0.77897	-0.35566	-0.011127	-0.07513	-0.37778	0.20634	0.018766	-0.0065894	-0.017297	-0.33964	0.060826	0.11494	-0.40566	0.035233	0.0069363	-0.046388	-0.48035	-0.013313	0.16279	-0.034832	-0.048419	0.049274	0.70109	0.020391	-0.046169	-0.77197	-0.47465	-0.022707	-0.51788	0.004323	0.00069018	0.015291	-0.79243	-0.56478	-0.76675	-0.5101	
Deletion Peak 18 - CN values	17q21.31	chr17:44080808-44850980(probes 235867:235917)    	chr17:44090696-44850980(probes 235868:235917)    	chr17:44179688-44209350(probes 235877:235878)    	0.046225	  0.046225		Actual Copy Change Given	0.21957	-1.2929	-0.011127	-0.07513	0.17501	0.85876	0.018766	-0.0065894	-0.017297	-0.35242	0.060826	0.11494	-0.40566	0.035233	0.0069363	0.81821	-0.069384	-0.013313	1.2801	-0.034832	-0.048419	-1.2929	0.70109	0.020391	-0.046169	0.0021084	0.074809	-0.006668	0.4411	-1.2929	0.00069018	0.071643	0.0043703	0.23251	0.60335	0.022391	
Deletion Peak 19 - CN values	18q23   	chr18:77634151-78077248(probes 246259:246297)    	chr18:77644117-78077248(probes 246260:246297)    	chr18:77683980-77712873(probes 246264:246265)    	0.15802	   0.15802		Actual Copy Change Given	-0.32674	1.249	0.10391	-0.81341	0.40478	-0.76922	0.92323	0.058158	-0.85789	0.22856	-0.38839	-0.26842	-0.42203	-0.032839	-0.0051864	0.038799	-0.0073358	0.014993	0.016602	-0.040586	0.019752	-0.72283	0.15326	-0.32662	-0.099759	0.017587	0.11034	0.046717	0.34623	-0.013587	0.0080056	0.005191	-0.011623	0	-0.0041724	-0.49458	
Deletion Peak 20 - CN values	19p13.2 	chr19:8937247-9213025(probes 247207:247226)        	chr19:8947126-9213025(probes 247208:247226)        	chr19:8595517-9281766(probes 247169:247236)        	0.006293	  0.006293		Actual Copy Change Given	0.056063	0.79961	-0.12326	-0.19115	-0.97221	-0.86022	-0.90697	0.019404	-0.1264	-0.30979	-0.37092	0.1319	0.068232	-0.0051236	0.021632	-0.057603	-0.01348	-0.066154	-0.038361	0.066412	-0.083732	0.39525	-0.2063	-0.062124	-0.11527	-0.53594	-0.80093	-0.37213	0.70998	0.028076	-0.079606	-0.43415	-0.1345	0.034517	0.12376	0.19756	
Deletion Peak 21 - CN values	19p12   	chr19:19790179-30017647(probes 248294:248737)    	chr19:22134768-23443619(probes 248531:248647)    	chr19:19790179-30018205(probes 248294:248738)    	0.0064062	 0.0064062		Actual Copy Change Given	3.6569	-1.2186	0.039671	-0.077756	-0.57931	1.0495	3.4449	-1.2929	3.6569	0.1925	-0.37092	0.017308	-0.16966	-0.0051236	0.021632	-0.057603	-0.01348	-0.066154	3.6569	-1.2929	0.039846	0.30494	3.6569	-0.062124	0.042661	-0.55849	3.6569	0.01236	1.9641	0.028076	-0.079606	-0.039557	3.2253	0.034517	0.12376	-0.019785	
Deletion Peak 22 - CN values	19q13.42	chr19:55337666-55593054(probes 251295:251320)    	chr19:55347586-55593054(probes 251296:251320)    	chr19:51767206-59128983(probes 250920:251697)    	0.001235	  0.001235		Actual Copy Change Given	-0.21199	0.53742	-0.096944	-0.16708	-0.43085	-0.95539	0.16772	-0.25878	-0.21877	-1.0809	-0.29889	0.017308	-0.42782	-0.0051236	0.021632	-0.36017	-0.5759	-0.066154	0.19063	-0.21901	-0.50954	-0.38702	-0.18709	-0.1691	-0.12766	-0.59247	-0.13724	-0.42246	-0.044706	0.028076	-0.079606	-0.19528	-0.0038376	-0.77979	-0.044411	-0.14949	
Deletion Peak 23 - CN values	21q21.1 	chr21:18961466-22118018(probes 258284:258538)    	chr21:18971451-20240522(probes 258285:258350)    	chr21:18981436-20260495(probes 258286:258352)    	0.055421	   0.05475		Actual Copy Change Given	-0.017168	-0.86839	-0.12058	0.0047033	-0.7272	-0.79529	0.039594	0.27351	-1.2929	0.098634	-0.81367	-0.043779	-0.098407	-0.068162	-0.00049602	-0.10869	-0.055944	-0.68107	0.81041	-0.057705	-0.0033551	-0.3802	-0.019898	-0.03542	0.13053	0.06923	0.13841	-0.048824	-0.96756	-0.017543	-0.04998	0.027808	0.026151	-0.77062	-0.020763	-0.41489	
Deletion Peak 24 - CN values	22q11.1 	chr22:1-17609385(probes 260683:260813)           	chr22:1-17609385(probes 260683:260813)           	chr22:1-17599399(probes 260683:260812)           	0.20867	   0.20768		Actual Copy Change Given	0.066624	0.097418	-0.025942	-0.0071281	0.17312	-0.048884	0.037645	0.034437	1.135	-0.40375	-0.80081	-0.94741	-0.31365	-0.87423	-0.0043651	-0.057056	-0.0064043	-0.015922	-0.033692	0.04234	-0.02846	-0.19903	-0.14586	0.20334	-0.051917	0.35569	-0.095997	-0.028016	0.49736	0.008504	-0.015064	0.014112	-0.073678	-0.16652	-0.0058245	-0.036535	
